MARCA     EDAD  TON  PRECIO
P&GM      0     3    62287.50
Genérico  0     2    49900.00
P&GM      0     2    42900.00
P&GM      0     2    50325.00
1         27    2    41477.00
2         7     1.6  33836.50
3         25    1    48026.00
4         25    2    34000.00
5         11    1.6  40385.50
6         NA    2    25813.25
7         45    2.2  41477.00


MARCA     EDAD  TON  PRECIO
P&GM      0     3    62287.50
P&GM      0     2    42900.00
2         7     1.6  33836.50
3         25    1    48026.00
5         11    1.6  40385.50
